C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\ExportOrdersButton.tsx : 75:18 warning 'error' is defined but never used @typescript-eslint/no-unused-vars
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\auditoria\page.tsx : 72:71 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\cocina\page.tsx : 37:40 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\cocina\page.tsx : 38:42 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\cocina\page.tsx : 39:50 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\configuraciones\page.tsx : 54:112 error `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;` react/no-unescaped-entities
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\configuraciones\page.tsx : 54:121 error `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;` react/no-unescaped-entities
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\costos\page.tsx : 35:50 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\costos\page.tsx : 36:63 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\delivery\page.tsx : 108:83 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\menu\actions.ts : 152:20 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\menu\prepara-manana\actions.ts : 119:17 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\page.tsx : 138:73 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\page.tsx : 139:80 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\page.tsx : 149:73 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\page.tsx : 190:73 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\page.tsx : 191:80 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\page.tsx : 200:69 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\pedidos\PedidoRow.tsx : 156:59 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\pedidos\page.tsx : 41:40 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\pedidos\page.tsx : 42:42 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
C:\Users\mwarr\OneDrive - UNIVERSIDAD DE LAS AMERICAS\NOTEBOOK\PROYECTOS\Mi Colación\mi-colacion\app\admin\pedidos\page.tsx : 43:52 error Unexpected any. Specify a different type @typescript-eslint/no-explicit-any
